,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,ori_rep,new_capacity,cum_emission,cum_red,cum_red_prev
1121,Newington,NH,43.1047,-70.8061,2002,Gas_CC,604,494592000.0,3536235.507,214199.966,Wind,-130.14841733664747,214199.966,Gas_CC→Wind,1161.5384615384617,13279221.277999997,0.01295558077772352,0.012741380811723522
600,Georgetown,IN,39.902556,-86.24405,2000,Gas_SC,340,244902000.0,2882872.681,171322.486,Wind,-128.5568344845866,171322.486,Gas_SC→Wind,653.8461538461539,13450543.763999997,0.013126903263723521,0.01295558077772352
1267,Cleveland Cnty Generating Facility,NC,35.170547,-81.416648,2012,Gas_SC,1472,624292000.0,5999753.653,356843.63,Wind,-126.84473344722514,356843.63,Gas_SC→Wind,2830.769230769231,13807387.393999998,0.013483746893723522,0.013126903263723521
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Wind,-125.8848140434158,601846.01,Gas_SC→Wind,1721.1538461538462,14409233.403999997,0.01408559290372352,0.013483746893723522
331,Horseshoe Lake,OK,35.50866,-97.17969,1958,Gas_SC,973,1100144000.0,11918441.24,708294.052,Wind,-122.55543569428177,708294.052,Gas_SC→Wind,1871.1538461538462,15117527.455999997,0.01479388695572352,0.01408559290372352
894,Brownsville Peaking Power,TN,35.5438,-89.198,1999,Gas_SC,460,334949000.0,3834429.612,227873.668,Wind,-121.83157125026159,227873.668,Gas_SC→Wind,884.6153846153846,15345401.123999996,0.01502176062372352,0.01479388695572352
640,Hell Gate,NY,40.799,-73.9094,2001,Gas_SC,94,72684000.0,674065.1440000001,40058.627,Wind,-121.52220134939908,40058.627,Gas_SC→Wind,180.76923076923077,15385459.750999996,0.01506181925072352,0.01502176062372352
3,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Wind,-121.43521975748322,696954.552,Gas_SC→Wind,2476.9230769230767,16082414.302999996,0.01575877380272352,0.01506181925072352
918,Walton County Power LLC,GA,33.8148,-83.6954,2001,Gas_SC,492,318036000.0,3151280.794,187275.659,Wind,-121.21771308748441,187275.659,Gas_SC→Wind,946.1538461538462,16269689.961999996,0.01594604946172352,0.01575877380272352
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-120.81414945753971,1714520.0464674032,Coal→Gas,3193.846153846154,19122296.339999996,0.01766056950819092,0.01594604946172352
1231,Emporia Energy Center,KS,38.445883,-96.065247,2008,Gas_SC,729,434267000.0,4931796.397,293090.158,Wind,-120.6627244958633,293090.158,Gas_SC→Wind,1401.9230769230771,19415386.497999996,0.017953659666190922,0.01766056950819092
107,Waukegan,IL,42.3833,-87.8133,1952,Coal,914,747412000.0,7877858.9,832780.45,Wind,-119.69932262991225,832780.45,Coal→Wind,1757.6923076923078,20248166.947999995,0.018786440116190923,0.017953659666190922
1202,Groton Generating Station,SD,45.3735,-98.098689,2006,Gas_SC,188,134515000.0,1176232.489,69900.01,Wind,-119.56422692441816,69900.01,Gas_SC→Wind,361.53846153846155,20318066.957999997,0.01885634012619092,0.018786440116190923
185,Morgantown Generating Plant,MD,38.3592,-76.9767,1970,Coal,1548,1259835000.0,12531503.731,1284643.79,Wind,-117.16992072086046,1284643.79,Coal→Wind,2976.923076923077,21602710.747999996,0.020140983916190923,0.01885634012619092
1068,Elgin Energy Center LLC,IL,42.000061,-88.244572,2002,Gas_SC,540,390722000.0,4420334.302,262695.088,Wind,-116.70910194944943,262695.088,Gas_SC→Wind,1038.4615384615386,21865405.835999995,0.020403679004190923,0.020140983916190923
1093,Frank Knutson,CO,39.941129,-104.682015,2002,Gas_SC,154,73771000.0,912492.099,54291.524,Wind,-114.96696789850186,54291.524,Gas_SC→Wind,296.1538461538462,21919697.359999996,0.02045797052819092,0.020403679004190923
632,Terry Bundy Generating Station,NE,40.909653,-96.613086,2003,Gas_CC,212,161554000.0,1617826.487,96150.778,Wind,-114.79189847488018,96150.778,Gas_CC→Wind,407.6923076923077,22015848.137999997,0.02055412130619092,0.02045797052819092
956,Gibson City Energy Center LLC,IL,40.4705,-88.3987,2000,Gas_SC,270,210182000.0,2484262.467,147633.886,Wind,-113.34886571902337,147633.886,Gas_SC→Wind,519.2307692307693,22163482.023999996,0.02070175519219092,0.02055412130619092
305,Roxboro,NC,36.4833,-79.0731,1966,Coal,2573,2310556000.0,55418825.502,5681613.894,Gas,-111.18454784773695,4893173.17944125,Coal→Gas,3958.461538461538,27845095.917999998,0.025594928371632172,0.02070175519219092
912,Rockingham County CT Station,NC,36.3297,-79.8297,2000,Gas_SC,975,667548000.0,6862918.011,408581.996,Wind,-111.16065191266597,408581.996,Gas_SC→Wind,1875.0,28253677.913999997,0.026003510367632172,0.025594928371632172
8,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Wind,-109.9850619205565,414894.287,Coal→Wind,1034.6153846153845,28668572.200999998,0.026418404654632174,0.026003510367632172
969,Harry L. Oswald,AR,34.5923,-92.2166,2002,Gas_CC,599,465218000.0,3543324.762,210578.029,Wind,-108.25752615511944,210578.029,Gas_CC→Wind,1151.923076923077,28879150.229999997,0.026628982683632174,0.026418404654632174
404,Sim Gideon,TX,30.1456,-97.2708,1965,Gas_SC,623,680051000.0,6856742.529,407490.218,Wind,-107.86000112131535,407490.218,Gas_SC→Wind,1198.076923076923,29286640.447999995,0.02703647290163217,0.026628982683632174
134,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05,Wind,-107.33071254795219,1019408.05,Coal→Wind,2076.923076923077,30306048.497999996,0.02805588095163217,0.02703647290163217
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Wind,-106.34507044222951,541505.7170000001,Gas_CC→Wind,1809.6153846153845,30847554.214999996,0.028597386668632173,0.02805588095163217
625,Holden,MO,38.7538,-93.9983,2002,Gas_SC,321,240843000.0,2771409.671,164764.537,Wind,-105.93176330062383,164764.537,Gas_SC→Wind,617.3076923076923,31012318.751999997,0.028762151205632174,0.028597386668632173
1225,Mira Loma Peaker,CA,34.0053,-117.5604,2007,Gas_SC,49,25125000.0,208546.398,12392.979,Solar,-105.40487922083281,12392.979,Gas_SC→Solar,153.12499999999997,31024711.730999995,0.02877454418463217,0.028762151205632174
551,Hay Road,DE,39.7436,-75.5072,1989,Gas_CC,1193,1209513000.0,14348604.639,852744.125,Wind,-105.35558285762576,852744.125,Gas_CC→Wind,2294.230769230769,31877455.855999995,0.029627288309632172,0.02877454418463217
155,E W Brown,KY,37.78831,-84.71257,1957,Gas_SC,1748,1458548000.0,15795745.82,1516834.619,Wind,-103.56379552668982,1516834.619,Gas_SC→Wind,3361.538461538462,33394290.474999994,0.03114412292863217,0.029627288309632172
990,"Darby Power, LLC",OH,39.7139,-83.1778,2001,Gas_SC,564,413160000.0,4756106.0,281152.9,Wind,-103.28333360333237,281152.9,Gas_SC→Wind,1084.6153846153845,33675443.37499999,0.031425275828632165,0.03114412292863217
87,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-103.06294740724077,366232.1522814891,Coal→Gas,721.5384615384614,34297846.17899999,0.03179150798091366,0.031425275828632165
17,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Wind,-101.6034612948888,290612.052,Gas_SC→Wind,809.6153846153846,34588458.23099999,0.03208212003291366,0.03179150798091366
1048,RockGen Energy Center,WI,42.9767,-89.0492,2001,Gas_SC,561,466185000.0,4971121.011,295658.987,Wind,-101.52035837555795,295658.987,Gas_SC→Wind,1078.8461538461538,34884117.217999995,0.032377779019913656,0.03208212003291366
604,Sowega Power,GA,31.3869,-84.08,1999,Gas_SC,98,76468000.0,731632.018,43481.607,Wind,-97.89162478972814,43481.607,Gas_SC→Wind,188.46153846153848,34927598.824999996,0.03242126062691366,0.032377779019913656
33,AES Alamitos LLC,CA,33.7688,-118.1009,1956,Gas_SC,2055,1785596000.0,15163913.192,901172.842,Solar,-97.87053736278907,901172.842,Gas_SC→Solar,6421.874999999999,35828771.666999996,0.033322433468913656,0.03242126062691366
370,Allen,TN,35.074087,-90.14868,1959,Gas_CC,2764,3815383000.0,24638356.599,1464222.803,Wind,-97.46250332400766,1464222.803,Gas_CC→Wind,5315.384615384615,37292994.47,0.034786656271913664,0.03332243346891366
170,Teche,LA,29.822222,-91.5425,1953,Gas_SC,467,503159000.0,5116865.048,304082.141,Wind,-97.45072378353733,304082.141,Gas_SC→Wind,898.0769230769232,37597076.611,0.035090738412913665,0.034786656271913664
744,Las Vegas Generating Station,NV,36.2319,-115.1222,1994,Gas_CC,354,270089000.0,2819195.911,167537.117,Solar,-97.34810394685157,167537.117,Gas_CC→Solar,1106.25,37764613.728,0.03525827552991367,0.035090738412913665
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Wind,-96.49505351591854,639604.099,Gas_SC→Wind,1715.3846153846152,38404217.827,0.035897879628913665,0.03525827552991367
275,Reeves,NM,35.171,-106.6019,1960,Gas_SC,154,123633000.0,1455196.284,86479.228,Solar,-96.48994416453628,86479.228,Gas_SC→Solar,481.24999999999994,38490697.055,0.035984358856913666,0.035897879628913665
73,Brandon Shores,MD,39.18,-76.5389,1984,Coal,1370,1148597000.0,12187110.157,1250397.931,Wind,-94.84438049003842,1250397.931,Coal→Wind,2634.6153846153848,39741094.986,0.037234756787913666,0.035984358856913666
652,Kemper County,MS,32.7976,-88.606,2002,Gas_SC,372,237128000.0,2844636.671,169112.43,Wind,-94.82251361636922,169112.43,Gas_SC→Wind,715.3846153846154,39910207.416,0.037403869217913666,0.037234756787913666
26,GREC,OK,36.190278,-95.2894,1981,Gas_CC,1734,2615424000.0,17736827.73,1099988.09,Wind,-94.77042926940389,1099988.09,Gas_CC→Wind,3334.6153846153848,41010195.506000005,0.03850385730791367,0.037403869217913666
84,Crist,FL,30.5661,-87.2244,1945,Coal,1226,1308078000.0,14486362.104,1263481.962,Gas,-94.63500289949486,817121.0198637433,Coal→Gas,1886.1538461538462,42273677.468,0.039320978327777416,0.038503857307913676
609,Sewell Creek Energy,GA,33.9486,-85.2769,2000,Gas_SC,570,426763000.0,4639901.166999999,275741.619,Wind,-93.3055002428323,275741.619,Gas_SC→Wind,1096.1538461538462,42549419.087000005,0.039596719946777416,0.039320978327777416
203,St Clair,MI,42.7642,-82.4719,1953,Coal,1923,1885094000.0,19903603.932,2087492.367,Gas,-93.25038601966664,1444233.8351269737,Coal→Gas,2958.461538461538,44636911.454,0.041040953781904393,0.039596719946777416
1204,Cannon Falls Energy Center,MN,44.536688,-92.915528,2008,Gas_SC,346,226931000.0,2599902.5,153397.7,Wind,-93.00366073896907,153397.7,Gas_SC→Wind,665.3846153846154,44790309.15400001,0.041194351481904395,0.041040953781904393
660,Greater Des Moines,IA,41.5563,-93.5283,2003,Gas_CC,575,457689000.0,4992929.627,296722.743,Wind,-92.80546197687126,296722.743,Gas_CC→Wind,1105.769230769231,45087031.89700001,0.041491074224904397,0.041194351481904395
992,Gleason Generating Facility,TN,36.2454,-88.612,2000,Gas_SC,567,470362000.0,4899365.157,291158.105,Wind,-91.55591784880784,291158.105,Gas_SC→Wind,1090.3846153846155,45378190.002000004,0.04178223232990439,0.041491074224904397
1143,Edgewood Energy LLC,NY,40.7861,-73.2931,2002,Gas_SC,100,91805000.0,864144.7660000001,51354.894,Wind,-90.60477332795642,51354.894,Gas_SC→Wind,192.30769230769232,45429544.896000005,0.041833587223904393,0.04178223232990439
700,Gilroy Power Plant,CA,37.0001,-121.5367,1987,Gas_CC,130,116154000.0,940467.78,55885.3,Solar,-88.98277031024516,55885.3,Gas_CC→Solar,406.24999999999994,45485430.196,0.04188947252390439,0.041833587223904393
197,Dan E Karn,MI,43.644996,-83.840074,1959,Gas_SC,1945,1828950000.0,20504908.273,2109575.665,Wind,-88.57992986075155,2109575.665,Gas_SC→Wind,3740.3846153846157,47595005.861,0.04399904818890439,0.04188947252390439
657,Pyramid,NM,32.2363,-108.5494,2003,Gas_SC,184,131700000.0,1274790.595,75869.983,Wind,-88.39740615765196,75869.983,Gas_SC→Wind,353.84615384615387,47670875.844000004,0.04407491817190439,0.04399904818890439
637,Vernon Boulevard,NY,40.7537,-73.9508,2001,Gas_SC,94,77015000.0,681727.089,40516.26,Wind,-88.31146273976402,40516.26,Gas_SC→Wind,180.76923076923077,47711392.104,0.04411543443190439,0.04407491817190439
1286,Pioneer Generating Station,ND,48.2325,-103.95278,2013,Gas_SC,288,193029000.0,1909698.654,113490.988,Wind,-84.24143666511463,113490.988,Gas_SC→Wind,553.8461538461539,47824883.092,0.04422892541990439,0.04411543443190439
874,Dighton Power Plant,MA,41.8312,-71.1239,1999,Gas_CC,200,216922000.0,1689282.333,100391.37,Wind,-83.85330696543865,100391.37,Gas_CC→Wind,384.61538461538464,47925274.462,0.044329316789904386,0.04422892541990439
782,Frontier,OK,35.439722,-97.625,1989,Gas_CC,131,224609000.0,1829087.25,90563.621,Wind,-83.80799715063885,90563.621,Gas_CC→Wind,251.92307692307693,48015838.083,0.04441988041090438,0.044329316789904386
224,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Wind,-81.24571821057117,923362.417,Gas_SC→Wind,2551.923076923077,48939200.5,0.04534324282790439,0.04441988041090438
575,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999,Wind,-80.74365635433911,748335.0499999999,Coal→Wind,1336.5384615384614,49687535.55,0.04609157787790438,0.04534324282790439
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-79.90953671305633,1646019.1832710365,Coal→Gas,2998.461538461538,52375781.555,0.04773759706117542,0.04609157787790438
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712,Wind,-79.75504983672938,43928.712,Gas_CC→Wind,138.46153846153848,52419710.267,0.04778152577317542,0.04773759706117542
207,Erickson Station,MI,42.692222,-84.657222,1973,Coal,154,616427000.0,7461886.34,782601.455,Gas,-79.40311793257946,572255.4844399674,Coal→Gas,236.9230769230769,53202311.721999995,0.048353781257615386,0.04778152577317542
1007,Big Sandy Peaker Plant,WV,38.3441,-82.5938,2001,Gas_SC,348,269174000.0,2687489.8,158624.9,Wind,-79.3447192751692,158624.9,Gas_SC→Wind,669.2307692307692,53360936.621999994,0.04851240615761539,0.048353781257615386
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Wind,-78.09703632557972,445582.317,Gas_CC→Wind,1369.2307692307693,53806518.938999996,0.04895798847461539,0.04851240615761539
416,Chesterfield,VA,37.3822,-77.3833,1952,Coal,1797,3645796000.0,30464363.285,2020768.003,Gas,-77.7154999637667,776697.7431251332,Coal→Gas,2764.6153846153843,55827286.941999994,0.04973468621774052,0.04895798847461539
371,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Wind,-76.88192766077665,745998.767,Coal→Wind,1826.923076923077,56573285.70899999,0.050480684984740516,0.04973468621774052
740,Masspower,MA,42.1575,-72.5225,1993,Gas_CC,260,256404000.0,2995553.975,178018.8,Wind,-75.21162157088389,178018.8,Gas_CC→Wind,500.00000000000006,56751304.50899999,0.050658703784740515,0.050480684984740516
90,Northside Generating Station,FL,30.4172,-81.5525,1966,Coal,1405,5080842000.0,55671482.453,4623721.522,Gas,-71.83236257216711,2889964.4968337156,Coal→Gas,2161.5384615384614,61375026.03099999,0.05354866828157424,0.05065870378474052
1065,Hot Spring Generating Facility,AR,34.29759,-92.868344,2002,Gas_CC,1426,1181335000.0,8659294.141,514608.998,Wind,-69.33204655502036,514608.998,Gas_CC→Wind,2742.3076923076924,61889635.02899999,0.05406327727957424,0.05354866828157424
459,Belle River,MI,42.7756,-82.495,1981,Coal,1659,4950838000.0,49747806.267,5018291.802,Gas,-67.58440660831228,3328896.5870021326,Coal→Gas,2552.3076923076924,66907926.83099999,0.05739217386657637,0.05406327727957424
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-66.99716103441192,1362434.283563143,Coal→Gas,2615.3846153846157,68866403.071,0.05875460815013952,0.05739217386657637
759,Paris Energy Center,TX,33.6968,-95.5577,1989,Gas_CC,264,408641000.0,3474746.948,206500.832,Wind,-66.5822536577812,206500.832,Gas_CC→Wind,507.6923076923077,69072903.903,0.05896110898213952,0.05875460815013952
694,Cheswick Power Plant,PA,40.5383,-79.7906,1970,Coal,637,645388000.0,6543784.6620000005,665475.228,Wind,-66.52178584065972,665475.228,Coal→Wind,1225.0000000000002,69738379.131,0.05962658421013952,0.05896110898213952
643,Talbot County Energy,GA,32.5892,-84.6917,2002,Gas_SC,726,504779000.0,5623401.582,334272.254,Wind,-66.38274266065925,334272.254,Gas_SC→Wind,1396.1538461538462,70072651.38499999,0.05996085646413952,0.05962658421013952
1262,Bayonne Energy Center,NJ,40.652834,-74.09155,2012,Gas_SC,644,402893000.0,3472497.242,206381.972,Wind,-64.87919796621478,206381.972,Gas_SC→Wind,1238.4615384615383,70279033.357,0.060167238436139525,0.05996085646413952
334,Seminole,OK,34.96645,-96.7258,1971,Gas_SC,1724,2667360000.0,28228357.389,1677574.715,Wind,-63.96029459753415,1677574.715,Gas_SC→Wind,3315.3846153846157,71956608.072,0.06184481315113953,0.060167238436139525
160,Elmer Smith,KY,37.7942,-87.0608,1964,Coal,445,501812000.0,4914382.851,504216.512,Wind,-63.28115052015043,504216.512,Coal→Wind,855.7692307692307,72460824.58399999,0.06234902966313953,0.06184481315113953
